"","Year","Lg","G","W","L","Ties","W.L.","pythW.L.","Finish","GB","Playoffs","R","RA","Attendance","BatAge","PAge","X.Bat","X.P","Top.Player","Managers","Team","Popularity"
"1",2018,"NL West",162,82,80,0,50.6,0.533,"3rd of 5",9,"",693,644,2242695,29.2,29.6,49,30,"P.Goldschmidt (5.4)","T.Lovullo (82-80)","Arizona Diamondbacks","Popular"
"2",2017,"NL West",162,93,69,0,57.4,0.594,"2nd of 5",11,"Lost LDS (3-0)",812,659,2134375,28.3,28.7,45,23,"Z.Greinke (6.0)","T.Lovullo (93-69)","Arizona Diamondbacks","Popular"
"3",2016,"NL West",162,69,93,0,42.6,0.424,"4th of 5",22,"",752,890,2036216,26.7,26.4,50,29,"J.Segura (5.5)","C.Hale (69-93)","Arizona Diamondbacks","Popular"
"4",2015,"NL West",162,79,83,0,48.8,0.504,"3rd of 5",13,"",720,713,2080145,26.6,27.1,50,27,"P.Goldschmidt (8.7)","C.Hale (79-83)","Arizona Diamondbacks","Popular"
"5",2014,"NL West",162,64,98,0,39.5,0.415,"5th of 5",30,"",615,742,2073730,27.6,28,52,25,"P.Goldschmidt (4.6)","K.Gibson (63-96) and A.Trammell (1-2)","Arizona Diamondbacks","Popular"
"6",2013,"NL West",162,81,81,0,50,0.493,"2nd of 5",11,"",685,695,2134895,28.1,27.6,44,23,"P.Goldschmidt (7.1)","K.Gibson (81-81)","Arizona Diamondbacks","Popular"
"7",2012,"NL West",162,81,81,0,50,0.53,"3rd of 5",13,"",734,688,2177617,28.3,27.4,48,23,"A.Hill (5.1)","K.Gibson (81-81)","Arizona Diamondbacks","Popular"
"8",2011,"NL West",162,94,68,0,58,0.545,"1st of 5",0,"Lost LDS (3-2)",731,662,2105432,28.2,27.4,51,25,"J.Upton (5.5)","K.Gibson (94-68)","Arizona Diamondbacks","Popular"
"9",2010,"NL West",162,65,97,0,40.1,0.428,"5th of 5",27,"",713,836,2056697,26.8,27.9,48,28,"C.Young (5.4)","A.Hinch (31-48) and K.Gibson (34-49)","Arizona Diamondbacks","Popular"
"10",2009,"NL West",162,70,92,0,43.2,0.462,"5th of 5",25,"",720,782,2128765,26.5,27.7,45,24,"D.Haren (7.0)","B.Melvin (12-17) and A.Hinch (58-75)","Arizona Diamondbacks","Popular"
"11",2008,"NL West",162,82,80,0,50.6,0.509,"2nd of 5",2,"",720,706,2509924,26.7,29.4,41,20,"D.Haren (6.5)","B.Melvin (82-80)","Arizona Diamondbacks","Popular"
"12",2007,"NL West",162,90,72,0,55.6,0.487,"1st of 5",0,"Lost NLCS (4-0)",712,732,2325249,26.6,28.2,47,26,"B.Webb (5.9)","B.Melvin (90-72)","Arizona Diamondbacks","Popular"
"13",2006,"NL West",162,76,86,0,46.9,0.491,"4th of 5",12,"",773,788,2091685,29.7,28.8,45,25,"B.Webb (7.0)","B.Melvin (76-86)","Arizona Diamondbacks","Popular"
"14",2005,"NL West",162,77,85,0,47.5,0.406,"2nd of 5",5,"",696,856,2059424,30.3,27.4,43,25,"C.Counsell (5.5)","B.Melvin (77-85)","Arizona Diamondbacks","Popular"
